HCPID,HCPName,Specialty,TherapyArea,State,Region,Tier,PrePeriodRxVolume,IsTarget
HCP-0260,Dr. Sandra Anderson,Internist,Cardiology,TX,South,Tier 3 - Low Value,15,1
HCP-0261,Dr. Sarah Perez,Cardiologist,Immunology,NJ,Northeast,Tier 3 - Low Value,11,1
HCP-0262,Dr. Thomas Rodriguez,General Practitioner,Immunology,NC,South,Tier 2 - Medium Value,17,1
HCP-0263,Dr. Betty Anderson,Pulmonologist,Neurology,MI,Midwest,Tier 3 - Low Value,15,1
HCP-0264,Dr. Sandra Thomas,Neurologist,Oncology,NC,South,Tier 3 - Low Value,12,0
HCP-0265,Dr. Michael Taylor,Neurologist,Oncology,IL,Midwest,Tier 2 - Medium Value,14,1
HCP-0266,Dr. Charles Perez,Cardiologist,Cardiology,TN,South,Tier 3 - Low Value,8,1
HCP-0267,Dr. Robert Lee,Internist,Rare Disease,WI,Midwest,Tier 2 - Medium Value,7,1
HCP-0268,Dr. Betty Brown,Oncologist,Immunology,TX,South,Tier 2 - Medium Value,4,1
HCP-0269,Dr. Betty Martin,Cardiologist,Immunology,MO,Midwest,Tier 3 - Low Value,20,1
HCP-0270,Dr. Michael Thompson,Neurologist,Neurology,MI,Midwest,Tier 3 - Low Value,7,1
HCP-0271,Dr. Richard Johnson,Cardiologist,Immunology,TX,South,Tier 3 - Low Value,12,0
HCP-0272,Dr. James Martinez,Internist,Neurology,PA,Northeast,Tier 3 - Low Value,18,1
HCP-0273,Dr. Sandra Lee,Neurologist,Immunology,NJ,Northeast,Tier 3 - Low Value,15,0
HCP-0274,Dr. Joseph Brown,Pulmonologist,Rare Disease,IL,Midwest,Tier 2 - Medium Value,10,1
HCP-0275,Dr. James Anderson,Internist,Neurology,MA,Northeast,Tier 3 - Low Value,9,1
HCP-0276,Dr. Lisa Moore,Cardiologist,Rare Disease,OH,Midwest,Tier 3 - Low Value,16,1
HCP-0277,Dr. David Martin,Internist,Oncology,WA,West,Tier 2 - Medium Value,10,0
HCP-0278,Dr. Charles Anderson,Neurologist,Immunology,CA,West,Tier 2 - Medium Value,9,1
HCP-0279,Dr. Thomas Johnson,Oncologist,Neurology,MD,Northeast,Tier 3 - Low Value,3,1
HCP-0280,Dr. Christopher Brown,Immunologist,Rare Disease,PA,Northeast,Tier 3 - Low Value,20,0
HCP-0281,Dr. David Martin,Neurologist,Rare Disease,MI,Midwest,Tier 2 - Medium Value,4,1
HCP-0282,Dr. Betty Perez,Neurologist,Immunology,WI,Midwest,Tier 3 - Low Value,6,0
HCP-0283,Dr. Margaret Taylor,Pulmonologist,Oncology,WI,Midwest,Tier 3 - Low Value,2,0
HCP-0284,Dr. Joseph Thompson,Oncologist,Rare Disease,FL,South,Tier 3 - Low Value,17,1
HCP-0285,Dr. Joseph Thompson,Pulmonologist,Rare Disease,NJ,Northeast,Tier 2 - Medium Value,15,1
HCP-0286,Dr. Margaret Moore,Immunologist,Oncology,IN,Midwest,Tier 2 - Medium Value,14,1
HCP-0287,Dr. Lisa Rodriguez,Immunologist,Neurology,MO,Midwest,Tier 3 - Low Value,0,0
HCP-0288,Dr. Michael Perez,Oncologist,Oncology,MD,Northeast,Tier 2 - Medium Value,1,0
HCP-0289,Dr. Richard Jones,Immunologist,Oncology,NY,Northeast,Tier 2 - Medium Value,20,0
HCP-0290,Dr. Lisa Thomas,Neurologist,Immunology,AZ,West,Tier 2 - Medium Value,2,1
HCP-0291,Dr. Sandra Thomas,Cardiologist,Neurology,MO,Midwest,Tier 1 - High Value,33,1
HCP-0292,Dr. Christopher Jackson,Pulmonologist,Oncology,GA,South,Tier 3 - Low Value,17,1
HCP-0293,Dr. Jennifer Jones,Pulmonologist,Cardiology,WA,West,Tier 2 - Medium Value,8,1
HCP-0294,Dr. James Davis,Oncologist,Immunology,FL,South,Tier 3 - Low Value,6,1
HCP-0295,Dr. Robert Davis,Oncologist,Immunology,WI,Midwest,Tier 3 - Low Value,1,1
HCP-0296,Dr. Robert Jones,General Practitioner,Cardiology,GA,South,Tier 3 - Low Value,16,0
HCP-0297,Dr. Dorothy Anderson,Pulmonologist,Rare Disease,GA,South,Tier 2 - Medium Value,7,1
HCP-0298,Dr. Christopher Rodriguez,Internist,Rare Disease,IL,Midwest,Tier 2 - Medium Value,1,1
HCP-0299,Dr. Karen Perez,Internist,Cardiology,MD,Northeast,Tier 3 - Low Value,15,1
HCP-0300,Dr. Sarah Moore,Internist,Immunology,VA,South,Tier 3 - Low Value,13,1
HCP-0301,Dr. Thomas Martinez,Cardiologist,Rare Disease,WA,West,Tier 2 - Medium Value,4,0
HCP-0302,Dr. Sandra Lee,General Practitioner,Immunology,TX,South,Tier 3 - Low Value,4,1
HCP-0303,Dr. Nancy Taylor,Cardiologist,Neurology,NC,South,Tier 3 - Low Value,2,1
HCP-0304,Dr. Dorothy White,Oncologist,Neurology,OH,Midwest,Tier 2 - Medium Value,1,0
HCP-0305,Dr. Sandra Miller,Pulmonologist,Rare Disease,OH,Midwest,Tier 3 - Low Value,15,1
HCP-0306,Dr. Joseph Brown,Neurologist,Oncology,NJ,Northeast,Tier 2 - Medium Value,15,0
HCP-0307,Dr. Thomas Perez,Internist,Cardiology,WI,Midwest,Tier 2 - Medium Value,10,0
HCP-0308,Dr. Christopher Rodriguez,Immunologist,Rare Disease,WA,West,Tier 3 - Low Value,11,1
HCP-0309,Dr. Betty Anderson,Immunologist,Oncology,TN,South,Tier 3 - Low Value,6,1
HCP-0310,Dr. David Smith,Oncologist,Rare Disease,AZ,West,Tier 3 - Low Value,8,1
HCP-0311,Dr. Joseph Anderson,General Practitioner,Immunology,MD,Northeast,Tier 2 - Medium Value,7,1
HCP-0312,Dr. Sarah Rodriguez,Immunologist,Rare Disease,GA,South,Tier 3 - Low Value,15,0
HCP-0313,Dr. Jennifer Garcia,Immunologist,Cardiology,TN,South,Tier 3 - Low Value,4,0
HCP-0314,Dr. Robert Lee,Cardiologist,Rare Disease,TN,South,Tier 3 - Low Value,1,0
HCP-0315,Dr. Karen Jones,Pulmonologist,Oncology,NY,Northeast,Tier 3 - Low Value,20,1
HCP-0316,Dr. Jennifer Johnson,Oncologist,Cardiology,IL,Midwest,Tier 3 - Low Value,19,1
HCP-0317,Dr. Sandra Perez,Immunologist,Immunology,WI,Midwest,Tier 1 - High Value,26,1
HCP-0318,Dr. Christopher Smith,Internist,Neurology,IN,Midwest,Tier 3 - Low Value,16,0
HCP-0319,Dr. William Lee,Pulmonologist,Cardiology,AZ,West,Tier 1 - High Value,9,1
HCP-0320,Dr. Charles Thomas,General Practitioner,Neurology,WI,Midwest,Tier 3 - Low Value,2,1
HCP-0321,Dr. Thomas Martinez,Immunologist,Rare Disease,WA,West,Tier 2 - Medium Value,2,1
HCP-0322,Dr. Sandra Martin,Oncologist,Immunology,TX,South,Tier 2 - Medium Value,1,1
HCP-0323,Dr. Sarah Thompson,Oncologist,Immunology,PA,Northeast,Tier 3 - Low Value,3,0
HCP-0324,Dr. Ashley Martin,Cardiologist,Cardiology,TX,South,Tier 3 - Low Value,8,1
HCP-0325,Dr. Ashley Johnson,Internist,Neurology,NY,Northeast,Tier 3 - Low Value,5,0
HCP-0326,Dr. Lisa Williams,Oncologist,Cardiology,NJ,Northeast,Tier 3 - Low Value,9,1
HCP-0327,Dr. Sandra Anderson,General Practitioner,Immunology,GA,South,Tier 3 - Low Value,12,0
HCP-0328,Dr. Jennifer Johnson,Pulmonologist,Oncology,IL,Midwest,Tier 3 - Low Value,3,1
HCP-0329,Dr. Dorothy Thomas,Neurologist,Rare Disease,NY,Northeast,Tier 3 - Low Value,10,1
HCP-0330,Dr. Jennifer Perez,Pulmonologist,Immunology,NC,South,Tier 2 - Medium Value,12,1
HCP-0331,Dr. Dorothy Martinez,Internist,Immunology,MD,Northeast,Tier 1 - High Value,15,0
HCP-0332,Dr. David Thomas,Neurologist,Cardiology,NY,Northeast,Tier 2 - Medium Value,10,1
HCP-0333,Dr. Charles Brown,Oncologist,Neurology,NY,Northeast,Tier 2 - Medium Value,4,1
HCP-0334,Dr. Karen Brown,Immunologist,Rare Disease,AZ,West,Tier 3 - Low Value,0,1
HCP-0335,Dr. Sarah Thomas,Oncologist,Rare Disease,MO,Midwest,Tier 3 - Low Value,0,1
HCP-0336,Dr. Sandra Davis,Pulmonologist,Oncology,WA,West,Tier 3 - Low Value,18,1
HCP-0337,Dr. Charles Martin,Cardiologist,Cardiology,WA,West,Tier 2 - Medium Value,4,1
HCP-0338,Dr. Michael Taylor,Neurologist,Immunology,AZ,West,Tier 2 - Medium Value,8,0
HCP-0339,Dr. William Jones,General Practitioner,Rare Disease,TN,South,Tier 2 - Medium Value,9,1
HCP-0340,Dr. Sarah Jackson,Neurologist,Rare Disease,WA,West,Tier 2 - Medium Value,10,1
HCP-0341,Dr. Joseph Martin,Cardiologist,Neurology,WI,Midwest,Tier 2 - Medium Value,10,1
HCP-0342,Dr. Betty Thompson,Neurologist,Neurology,WA,West,Tier 3 - Low Value,7,1
HCP-0343,Dr. Ashley Miller,Pulmonologist,Immunology,NC,South,Tier 2 - Medium Value,18,0
HCP-0344,Dr. Nancy Miller,Internist,Rare Disease,PA,Northeast,Tier 1 - High Value,28,0
HCP-0345,Dr. David Martinez,Pulmonologist,Immunology,NY,Northeast,Tier 3 - Low Value,7,1
HCP-0346,Dr. Michael Jackson,Internist,Immunology,IL,Midwest,Tier 3 - Low Value,19,1
HCP-0347,Dr. Karen Perez,General Practitioner,Rare Disease,WA,West,Tier 3 - Low Value,1,0
HCP-0348,Dr. Michael Brown,Internist,Rare Disease,VA,South,Tier 3 - Low Value,7,1
HCP-0349,Dr. Lisa Anderson,Cardiologist,Rare Disease,VA,South,Tier 1 - High Value,50,1
HCP-0350,Dr. Margaret Perez,Oncologist,Neurology,CA,West,Tier 2 - Medium Value,18,1
HCP-0351,Dr. Ashley Lee,Immunologist,Neurology,GA,South,Tier 2 - Medium Value,4,1
HCP-0352,Dr. Michael Brown,Immunologist,Oncology,CA,West,Tier 2 - Medium Value,4,1
HCP-0353,Dr. Jennifer Martin,Immunologist,Cardiology,NJ,Northeast,Tier 3 - Low Value,3,1
HCP-0354,Dr. William Smith,Neurologist,Oncology,MA,Northeast,Tier 2 - Medium Value,10,1
HCP-0355,Dr. Sandra Garcia,Internist,Cardiology,PA,Northeast,Tier 3 - Low Value,10,1
HCP-0356,Dr. Richard Moore,Cardiologist,Immunology,MA,Northeast,Tier 3 - Low Value,12,1
HCP-0357,Dr. Lisa Smith,Cardiologist,Immunology,WI,Midwest,Tier 3 - Low Value,6,1
HCP-0358,Dr. Sandra Garcia,General Practitioner,Oncology,NY,Northeast,Tier 3 - Low Value,11,1
HCP-0359,Dr. Betty Lee,Oncologist,Neurology,MA,Northeast,Tier 3 - Low Value,20,1
HCP-0360,Dr. Jennifer Taylor,General Practitioner,Immunology,WA,West,Tier 3 - Low Value,14,1
HCP-0361,Dr. David Anderson,General Practitioner,Rare Disease,MI,Midwest,Tier 1 - High Value,7,1
HCP-0362,Dr. Margaret Thomas,Cardiologist,Neurology,FL,South,Tier 3 - Low Value,13,1
HCP-0363,Dr. Sandra Garcia,Immunologist,Immunology,MD,Northeast,Tier 2 - Medium Value,17,1
HCP-0364,Dr. Nancy White,Cardiologist,Cardiology,MI,Midwest,Tier 2 - Medium Value,1,0
HCP-0365,Dr. Lisa Perez,Immunologist,Cardiology,CA,West,Tier 2 - Medium Value,16,1
HCP-0366,Dr. Nancy Martin,Internist,Immunology,AZ,West,Tier 2 - Medium Value,5,1
HCP-0367,Dr. Charles Davis,Pulmonologist,Cardiology,CA,West,Tier 2 - Medium Value,17,1
HCP-0368,Dr. William Thompson,General Practitioner,Immunology,MA,Northeast,Tier 3 - Low Value,3,1
HCP-0369,Dr. Robert Jackson,Pulmonologist,Neurology,MO,Midwest,Tier 3 - Low Value,17,1
HCP-0370,Dr. Robert Jackson,Oncologist,Cardiology,AZ,West,Tier 2 - Medium Value,8,1
HCP-0371,Dr. Thomas Miller,Immunologist,Oncology,NY,Northeast,Tier 3 - Low Value,18,1
HCP-0372,Dr. David Miller,Internist,Immunology,WI,Midwest,Tier 2 - Medium Value,6,0
HCP-0373,Dr. Sandra Garcia,Neurologist,Rare Disease,MD,Northeast,Tier 2 - Medium Value,10,0
HCP-0374,Dr. Margaret Brown,Neurologist,Rare Disease,MI,Midwest,Tier 2 - Medium Value,4,0
HCP-0375,Dr. David Jones,Oncologist,Neurology,AZ,West,Tier 3 - Low Value,7,1
HCP-0376,Dr. Lisa Martin,Pulmonologist,Cardiology,NJ,Northeast,Tier 3 - Low Value,4,1
HCP-0377,Dr. Michael Williams,Internist,Immunology,NC,South,Tier 2 - Medium Value,12,1
HCP-0378,Dr. Betty Anderson,Internist,Neurology,NC,South,Tier 2 - Medium Value,18,1
HCP-0379,Dr. Jennifer Williams,Internist,Immunology,NY,Northeast,Tier 3 - Low Value,17,1
HCP-0380,Dr. Sarah Martinez,Pulmonologist,Cardiology,AZ,West,Tier 2 - Medium Value,10,1
HCP-0381,Dr. Robert Johnson,General Practitioner,Immunology,IL,Midwest,Tier 3 - Low Value,3,1
HCP-0382,Dr. Richard Jackson,Oncologist,Oncology,MA,Northeast,Tier 3 - Low Value,14,1
HCP-0383,Dr. Christopher Garcia,Cardiologist,Cardiology,AZ,West,Tier 3 - Low Value,8,1
HCP-0384,Dr. Richard Johnson,Neurologist,Oncology,VA,South,Tier 2 - Medium Value,12,1
HCP-0385,Dr. James Miller,Immunologist,Oncology,GA,South,Tier 3 - Low Value,15,1
HCP-0386,Dr. James Smith,Cardiologist,Rare Disease,MD,Northeast,Tier 3 - Low Value,10,0
HCP-0387,Dr. Thomas Thomas,Internist,Cardiology,AZ,West,Tier 2 - Medium Value,2,0
HCP-0388,Dr. Christopher Jones,Oncologist,Neurology,FL,South,Tier 2 - Medium Value,12,0
HCP-0389,Dr. Ashley Smith,Internist,Cardiology,IL,Midwest,Tier 1 - High Value,39,1
HCP-0390,Dr. David Moore,Neurologist,Cardiology,MA,Northeast,Tier 3 - Low Value,19,1
HCP-0391,Dr. William Thompson,Oncologist,Oncology,OH,Midwest,Tier 1 - High Value,46,1
HCP-0392,Dr. Michael Davis,Neurologist,Cardiology,AZ,West,Tier 2 - Medium Value,17,1
HCP-0393,Dr. Christopher Miller,Neurologist,Oncology,WI,Midwest,Tier 3 - Low Value,16,1
HCP-0394,Dr. Robert Davis,Internist,Immunology,OH,Midwest,Tier 2 - Medium Value,15,1
HCP-0395,Dr. James Taylor,Immunologist,Rare Disease,GA,South,Tier 1 - High Value,20,1
HCP-0396,Dr. Richard Martin,Immunologist,Neurology,MD,Northeast,Tier 3 - Low Value,2,1
HCP-0397,Dr. Robert Thomas,Oncologist,Neurology,NY,Northeast,Tier 2 - Medium Value,16,1
HCP-0398,Dr. Lisa Williams,Pulmonologist,Immunology,IN,Midwest,Tier 2 - Medium Value,20,1
HCP-0399,Dr. Michael Lee,Cardiologist,Neurology,WI,Midwest,Tier 1 - High Value,13,0
HCP-0400,Dr. Michael Martinez,General Practitioner,Neurology,IL,Midwest,Tier 2 - Medium Value,13,0
HCP-0401,Dr. Karen Brown,Oncologist,Cardiology,GA,South,Tier 1 - High Value,29,1
HCP-0402,Dr. David Smith,Neurologist,Cardiology,TX,South,Tier 1 - High Value,10,1
HCP-0403,Dr. Charles Garcia,General Practitioner,Rare Disease,VA,South,Tier 3 - Low Value,11,1
HCP-0404,Dr. James Anderson,Internist,Oncology,NC,South,Tier 3 - Low Value,13,1
HCP-0405,Dr. Betty Jackson,Neurologist,Rare Disease,NY,Northeast,Tier 3 - Low Value,16,1
HCP-0406,Dr. Richard Rodriguez,Pulmonologist,Rare Disease,TN,South,Tier 2 - Medium Value,3,0
HCP-0407,Dr. James Davis,Cardiologist,Rare Disease,FL,South,Tier 1 - High Value,2,1
HCP-0408,Dr. Robert Perez,Cardiologist,Cardiology,WA,West,Tier 3 - Low Value,20,1
HCP-0409,Dr. Sarah Rodriguez,Cardiologist,Immunology,NJ,Northeast,Tier 3 - Low Value,2,1
HCP-0410,Dr. Margaret Johnson,General Practitioner,Oncology,FL,South,Tier 2 - Medium Value,12,1
HCP-0411,Dr. Christopher Anderson,Pulmonologist,Neurology,MA,Northeast,Tier 3 - Low Value,2,1
HCP-0412,Dr. Christopher White,Neurologist,Cardiology,CA,West,Tier 2 - Medium Value,7,1
HCP-0413,Dr. Sandra Davis,Immunologist,Cardiology,MD,Northeast,Tier 3 - Low Value,4,1
HCP-0414,Dr. James Anderson,Oncologist,Cardiology,AZ,West,Tier 3 - Low Value,0,0
HCP-0415,Dr. Margaret Davis,Pulmonologist,Neurology,WA,West,Tier 1 - High Value,26,1
HCP-0416,Dr. Thomas Lee,Cardiologist,Neurology,TX,South,Tier 1 - High Value,26,0
HCP-0417,Dr. Margaret Jones,Immunologist,Oncology,VA,South,Tier 3 - Low Value,20,0
HCP-0418,Dr. David Davis,General Practitioner,Rare Disease,NY,Northeast,Tier 1 - High Value,18,1
HCP-0419,Dr. Sarah Anderson,Pulmonologist,Immunology,NJ,Northeast,Tier 3 - Low Value,14,1
HCP-0420,Dr. Ashley Brown,Cardiologist,Cardiology,NY,Northeast,Tier 3 - Low Value,4,1
HCP-0421,Dr. Sandra Taylor,Immunologist,Neurology,MA,Northeast,Tier 2 - Medium Value,6,1
HCP-0422,Dr. Christopher White,Neurologist,Oncology,MA,Northeast,Tier 1 - High Value,2,1
HCP-0423,Dr. Jennifer Thomas,Cardiologist,Oncology,NJ,Northeast,Tier 3 - Low Value,16,1
HCP-0424,Dr. Lisa Jackson,Neurologist,Cardiology,MI,Midwest,Tier 1 - High Value,35,0
HCP-0425,Dr. David Brown,Oncologist,Immunology,GA,South,Tier 1 - High Value,0,1
HCP-0426,Dr. Jennifer Williams,Cardiologist,Cardiology,GA,South,Tier 3 - Low Value,18,1
HCP-0427,Dr. Nancy Jones,Oncologist,Oncology,NY,Northeast,Tier 2 - Medium Value,2,0
HCP-0428,Dr. Robert Garcia,Oncologist,Oncology,NJ,Northeast,Tier 3 - Low Value,18,1
HCP-0429,Dr. Karen Garcia,Immunologist,Oncology,WA,West,Tier 2 - Medium Value,11,1
HCP-0430,Dr. David Johnson,Neurologist,Neurology,PA,Northeast,Tier 2 - Medium Value,19,1
HCP-0431,Dr. Sandra Martin,Internist,Neurology,GA,South,Tier 2 - Medium Value,1,1
HCP-0432,Dr. Margaret Davis,Cardiologist,Immunology,WA,West,Tier 2 - Medium Value,20,0
HCP-0433,Dr. Jennifer Martin,Pulmonologist,Oncology,MO,Midwest,Tier 3 - Low Value,17,0
HCP-0434,Dr. Charles Garcia,General Practitioner,Rare Disease,VA,South,Tier 2 - Medium Value,0,1
HCP-0435,Dr. Betty Lee,Oncologist,Neurology,GA,South,Tier 1 - High Value,22,0
HCP-0436,Dr. Thomas Rodriguez,Cardiologist,Oncology,GA,South,Tier 2 - Medium Value,17,0
HCP-0437,Dr. Lisa Taylor,Pulmonologist,Cardiology,TX,South,Tier 3 - Low Value,5,1
HCP-0438,Dr. James Taylor,Neurologist,Neurology,MD,Northeast,Tier 3 - Low Value,18,1
HCP-0439,Dr. Richard Martin,Cardiologist,Immunology,MD,Northeast,Tier 3 - Low Value,1,1
HCP-0440,Dr. Betty Smith,General Practitioner,Cardiology,GA,South,Tier 1 - High Value,21,0
HCP-0441,Dr. Richard Anderson,Pulmonologist,Cardiology,OH,Midwest,Tier 2 - Medium Value,1,1
HCP-0442,Dr. Margaret Taylor,Internist,Cardiology,MD,Northeast,Tier 3 - Low Value,2,1
HCP-0443,Dr. Sarah Jones,General Practitioner,Oncology,WA,West,Tier 2 - Medium Value,5,0
HCP-0444,Dr. Richard Perez,Pulmonologist,Immunology,AZ,West,Tier 3 - Low Value,19,0
HCP-0445,Dr. Lisa Martinez,Internist,Rare Disease,GA,South,Tier 3 - Low Value,9,1
HCP-0446,Dr. Ashley Johnson,Internist,Rare Disease,CA,West,Tier 2 - Medium Value,5,1
HCP-0447,Dr. Betty Jones,Cardiologist,Rare Disease,WI,Midwest,Tier 1 - High Value,21,0
HCP-0448,Dr. Michael Anderson,Neurologist,Neurology,GA,South,Tier 2 - Medium Value,14,1
HCP-0449,Dr. William Smith,Cardiologist,Oncology,OH,Midwest,Tier 2 - Medium Value,1,1
HCP-0450,Dr. Lisa Taylor,Cardiologist,Immunology,AZ,West,Tier 2 - Medium Value,17,1
HCP-0451,Dr. Thomas Garcia,Pulmonologist,Rare Disease,TN,South,Tier 3 - Low Value,14,1
HCP-0452,Dr. William Williams,Neurologist,Oncology,TX,South,Tier 2 - Medium Value,10,1
HCP-0453,Dr. Michael Anderson,Cardiologist,Oncology,WA,West,Tier 3 - Low Value,19,0
HCP-0454,Dr. Richard White,Internist,Oncology,TN,South,Tier 2 - Medium Value,13,1
HCP-0455,Dr. Karen Perez,Neurologist,Cardiology,FL,South,Tier 3 - Low Value,17,1
HCP-0456,Dr. Lisa Thompson,Neurologist,Cardiology,MI,Midwest,Tier 1 - High Value,35,0
HCP-0457,Dr. Michael Martinez,Oncologist,Neurology,IL,Midwest,Tier 1 - High Value,42,1
HCP-0458,Dr. Richard Martinez,Cardiologist,Oncology,TN,South,Tier 1 - High Value,5,1
HCP-0459,Dr. Charles Williams,Neurologist,Immunology,FL,South,Tier 2 - Medium Value,20,1
HCP-0460,Dr. Nancy Johnson,Neurologist,Immunology,PA,Northeast,Tier 2 - Medium Value,8,1
HCP-0461,Dr. David Brown,Cardiologist,Neurology,NC,South,Tier 3 - Low Value,2,1
HCP-0462,Dr. Robert Thomas,Immunologist,Rare Disease,MO,Midwest,Tier 2 - Medium Value,16,1
HCP-0463,Dr. Thomas Martin,Internist,Immunology,MO,Midwest,Tier 3 - Low Value,9,1
HCP-0464,Dr. Ashley White,General Practitioner,Rare Disease,TX,South,Tier 3 - Low Value,4,1
HCP-0465,Dr. Joseph Jones,Cardiologist,Cardiology,MA,Northeast,Tier 3 - Low Value,1,1
HCP-0466,Dr. Charles Anderson,Cardiologist,Cardiology,AZ,West,Tier 3 - Low Value,2,1
HCP-0467,Dr. Charles Lee,Immunologist,Rare Disease,MO,Midwest,Tier 2 - Medium Value,14,0
HCP-0468,Dr. Karen Brown,Pulmonologist,Rare Disease,CA,West,Tier 3 - Low Value,13,1
HCP-0469,Dr. William Brown,General Practitioner,Rare Disease,MD,Northeast,Tier 3 - Low Value,18,0
HCP-0470,Dr. Karen Rodriguez,Pulmonologist,Rare Disease,MI,Midwest,Tier 3 - Low Value,12,1
HCP-0471,Dr. Charles Thomas,General Practitioner,Immunology,MD,Northeast,Tier 1 - High Value,9,1
HCP-0472,Dr. Sarah Davis,Oncologist,Immunology,WA,West,Tier 3 - Low Value,1,0
HCP-0473,Dr. Christopher Martinez,Neurologist,Oncology,NC,South,Tier 2 - Medium Value,8,0
HCP-0474,Dr. Nancy Anderson,Pulmonologist,Cardiology,FL,South,Tier 1 - High Value,17,0
HCP-0475,Dr. Joseph Moore,Internist,Oncology,WI,Midwest,Tier 2 - Medium Value,15,0
HCP-0476,Dr. Richard Williams,Pulmonologist,Oncology,VA,South,Tier 3 - Low Value,9,0
HCP-0477,Dr. James Garcia,Cardiologist,Rare Disease,WA,West,Tier 3 - Low Value,6,0
HCP-0478,Dr. Nancy Johnson,Pulmonologist,Oncology,OH,Midwest,Tier 2 - Medium Value,11,0
HCP-0479,Dr. William Smith,Neurologist,Immunology,NC,South,Tier 3 - Low Value,7,1
HCP-0480,Dr. Betty Thompson,Immunologist,Cardiology,WI,Midwest,Tier 3 - Low Value,17,1
HCP-0481,Dr. Michael Martinez,Pulmonologist,Neurology,PA,Northeast,Tier 3 - Low Value,0,1
HCP-0482,Dr. Joseph Davis,Pulmonologist,Rare Disease,PA,Northeast,Tier 3 - Low Value,20,1
HCP-0483,Dr. James Martin,Neurologist,Immunology,OH,Midwest,Tier 3 - Low Value,4,1
HCP-0484,Dr. Dorothy Martinez,Pulmonologist,Oncology,WI,Midwest,Tier 2 - Medium Value,20,1
HCP-0485,Dr. Joseph Jackson,Pulmonologist,Neurology,WA,West,Tier 2 - Medium Value,9,1
HCP-0486,Dr. Margaret Taylor,Immunologist,Rare Disease,WI,Midwest,Tier 1 - High Value,35,1
HCP-0487,Dr. Betty Williams,Neurologist,Neurology,WI,Midwest,Tier 3 - Low Value,10,0
HCP-0488,Dr. Christopher Miller,Pulmonologist,Neurology,NJ,Northeast,Tier 2 - Medium Value,4,1
HCP-0489,Dr. Sarah Jones,Oncologist,Rare Disease,GA,South,Tier 2 - Medium Value,0,1
HCP-0490,Dr. Robert Thompson,Neurologist,Immunology,MI,Midwest,Tier 2 - Medium Value,18,0
HCP-0491,Dr. Betty Taylor,Internist,Cardiology,NJ,Northeast,Tier 3 - Low Value,16,1
HCP-0492,Dr. William Martin,Pulmonologist,Rare Disease,PA,Northeast,Tier 2 - Medium Value,4,0
HCP-0493,Dr. Sarah Williams,Pulmonologist,Cardiology,MO,Midwest,Tier 3 - Low Value,7,1
HCP-0494,Dr. Ashley Martinez,Immunologist,Neurology,MI,Midwest,Tier 2 - Medium Value,14,0
HCP-0495,Dr. Dorothy Williams,Oncologist,Rare Disease,TN,South,Tier 3 - Low Value,15,0
HCP-0496,Dr. Karen Johnson,Oncologist,Immunology,IN,Midwest,Tier 3 - Low Value,4,1
HCP-0497,Dr. Nancy Jones,Neurologist,Immunology,OH,Midwest,Tier 3 - Low Value,10,0
HCP-0498,Dr. Richard Anderson,Pulmonologist,Oncology,PA,Northeast,Tier 2 - Medium Value,20,1
HCP-0499,Dr. Richard Thompson,Neurologist,Cardiology,MA,Northeast,Tier 3 - Low Value,5,1
HCP-0500,Dr. Karen Thomas,Cardiologist,Rare Disease,NY,Northeast,Tier 2 - Medium Value,13,0
